vcc	V(n003)	Ic(Q1)
2.749999999999989e+000	-3.316856e+000	4.503314e-004
2.799999999999989e+000	-3.316846e+000	4.503343e-004
2.849999999999989e+000	-3.316836e+000	4.503371e-004
2.899999999999989e+000	-3.316827e+000	4.503399e-004
2.949999999999989e+000	-3.316817e+000	4.503428e-004
2.999999999999989e+000	-3.316807e+000	4.503456e-004
3.049999999999988e+000	-3.316797e+000	4.503484e-004
3.099999999999988e+000	-3.316787e+000	4.503512e-004
3.149999999999988e+000	-3.316777e+000	4.503541e-004
3.199999999999988e+000	-3.316767e+000	4.503569e-004
3.249999999999988e+000	-3.316757e+000	4.503597e-004
3.299999999999987e+000	-3.316748e+000	4.503626e-004
3.349999999999987e+000	-3.316738e+000	4.503654e-004
3.399999999999987e+000	-3.316728e+000	4.503682e-004
3.449999999999987e+000	-3.316718e+000	4.503711e-004
3.499999999999987e+000	-3.316708e+000	4.503739e-004
3.549999999999987e+000	-3.316698e+000	4.503767e-004
3.599999999999986e+000	-3.316688e+000	4.503795e-004
3.649999999999986e+000	-3.316679e+000	4.503824e-004
3.699999999999986e+000	-3.316669e+000	4.503852e-004
3.749999999999986e+000	-3.316659e+000	4.503880e-004
3.799999999999986e+000	-3.316649e+000	4.503909e-004
3.849999999999985e+000	-3.316639e+000	4.503937e-004
3.899999999999985e+000	-3.316629e+000	4.503965e-004
3.949999999999985e+000	-3.316619e+000	4.503993e-004
3.999999999999985e+000	-3.316609e+000	4.504021e-004
4.049999999999985e+000	-3.316600e+000	4.504050e-004
4.099999999999985e+000	-3.316590e+000	4.504078e-004
4.149999999999984e+000	-3.316580e+000	4.504106e-004
4.199999999999984e+000	-3.316570e+000	4.504135e-004
4.249999999999984e+000	-3.316560e+000	4.504163e-004
4.299999999999984e+000	-3.316550e+000	4.504191e-004
4.349999999999984e+000	-3.316540e+000	4.504219e-004
4.399999999999984e+000	-3.316530e+000	4.504248e-004
4.449999999999983e+000	-3.316521e+000	4.504276e-004
4.499999999999983e+000	-3.316511e+000	4.504304e-004
